NO,JUDUL BERITA,ISI BERITA,KATEGORI,TANGGAL UPLOAD,TAUTAN,clean_text,Cluster
65,Menko Perekonomian Tegaskan Proyek IKN Tetap Lanjut Sesuai Rencana,Menteri Koordinator Bidang Perekonomian menegaskan bahwa Proyek Ibu Kota Nusantara (IKN) akan terus berlanjut sesuai rencana dan target yang ditetapkan. Pemerintah menjamin pendanaan dan kepastian hukum untuk investasi di IKN. Proyek IKN dinilai sebagai mesin pertumbuhan ekonomi baru bagi kawasan timur Indonesia. Pernyataan ini bertujuan untuk menghilangkan keraguan publik terkait kelanjutan pembangunan IKN.,Ekonomi & Pemerintahan,30 Oktober 2025,Menko Perekonomian Tegaskan Proyek IKN Tetap Lanjut Sesuai Rencana,menteri koordinator bidang ekonomi tegas proyek ibu kota nusantara ikn terus lanjut sesuai rencana target tetap perintah jamin dana pasti hukum investasi ikn proyek ikn nilai mesin tumbuh ekonomi baru kawasan timur indonesia nyata tuju hilang ragu publik kait lanjut bangun ikn,2
66,200 Ribu Anak di Jabodetabek Belum Mendapat Vaksinasi Dasar Lengkap,Kementerian Kesehatan (Kemenkes) mengungkapkan bahwa sekitar 200 ribu anak di wilayah Jabodetabek belum mendapatkan vaksinasi dasar lengkap. Kemenkes segera meluncurkan program catch-up vaksinasi untuk mengejar cakupan imunisasi. Rendahnya cakupan ini berisiko meningkatkan kasus penyakit yang dapat dicegah dengan imunisasi (PD3I). Orang tua diimbau untuk segera membawa anaknya mendapatkan vaksinasi lengkap.,Kesehatan & Sosial,29 Oktober 2025,"200 Ribu Anak di Jabodetabek Belum Vaksinasi Dasar Lengkap, Kemenkes Langsung Gelar Catch Up",menteri sehat kemenkes ungkap ribu anak wilayah jabodetabek dapat vaksinasi dasar lengkap kemenkes segera luncur program catch vaksinasi kejar cakup imunisasi rendah cakup risiko tingkat kasus sakit cegah imunisasi orang tua imbau segera bawa anak dapat vaksinasi lengkap,7
67,Pemerintah Siapkan Regulasi Pajak Karbon untuk Industri Bertahap,Pemerintah sedang memfinalisasi regulasi untuk penerapan Pajak Karbon secara bertahap kepada sektor industri. Kebijakan ini merupakan komitmen Indonesia dalam mitigasi perubahan iklim dan mencapai target Net Zero Emission. Penerapan pajak karbon akan dilakukan secara hati-hati agar tidak membebani sektor industri terlalu berat. Diharapkan kebijakan ini mendorong transisi energi yang lebih bersih.,Ekonomi & Lingkungan,31 Oktober 2025,Pemerintah Siapkan Regulasi Pajak Karbon untuk Industri Bertahap,perintah sedang final regulasi terap pajak karbon tahap sektor industri bijak rupa komitmen indonesia mitigasi ubah iklim capai target net zero emission terap pajak karbon laku hati hati beban sektor industri terlalu berat harap bijak dorong transisi energi lebih bersih,3
68,Polri Amankan Pelaku Pengancaman Terhadap Pimpinan Media Nasional,"Kepolisian Republik Indonesia (Polri) berhasil mengamankan pelaku yang diduga melakukan pengancaman terhadap salah satu pimpinan media nasional. Penangkapan dilakukan setelah adanya laporan resmi dan penyelidikan intensif terhadap jejak digital pelaku. Motif pengancaman sedang didalami, dan pelaku akan dijerat dengan undang-undang terkait ITE dan pidana. Polri berkomitmen melindungi kebebasan pers dan jurnalis.",Hukum & Kriminal,30 Oktober 2025,Polri Amankan Pelaku Pengancaman Terhadap Pimpinan Media Nasional,polisi republik indonesia polri hasil aman laku duga laku ancam salah satu pimpin media nasional tangkap laku ada lapor resmi lidi intensif jejak digital laku motif ancam sedang dalam laku jerat undang undang kait ite pidana polri komitmen lindung bebas pers jurnalis,4
69,Wapres Minta Penataan Biaya Pendidikan Tinggi Diperketat,Wakil Presiden meminta Kementerian Pendidikan dan Kebudayaan untuk menata ulang dan memperketat kebijakan biaya pendidikan tinggi (UKT). Wapres menekankan pentingnya akses pendidikan yang terjangkau bagi seluruh lapisan masyarakat. Penataan ini bertujuan agar tidak ada lagi keluhan dari mahasiswa terkait kenaikan biaya yang tidak rasional. Pemerintah berupaya menjamin kualitas pendidikan tanpa membebani masyarakat.,Pendidikan & Pemerintahan,2025-11-01 00:00:00,Wapres Minta Penataan Biaya Pendidikan Tinggi Diperketat,wakil presiden minta menteri didik budaya tata ulang ketat bijak biaya didik tinggi ukt wapres tekan penting akses didik jangkau seluruh lapis masyarakat tata tuju keluh mahasiswa kait naik biaya rasional perintah upaya jamin kualitas didik beban masyarakat,7
70,Bank Indonesia Resmi Luncurkan Uang Rupiah Khusus Edisi Kemerdekaan,Bank Indonesia (BI) secara resmi meluncurkan Uang Rupiah Khusus (URK) edisi peringatan hari Kemerdekaan Republik Indonesia. Peluncuran ini merupakan bagian dari upaya edukasi dan pengenalan mata uang Rupiah sebagai simbol kedaulatan negara. Uang khusus ini dicetak dalam jumlah terbatas dan memiliki nilai koleksi tinggi. BI berharap masyarakat dapat lebih menghargai dan bangga terhadap mata uang Rupiah.,Ekonomi & Keuangan,30 Oktober 2025,BI Luncurkan Uang Rupiah Khusus Edisi Kemerdekaan,bank indonesia resmi luncur uang rupiah khusus urk edisi ingat hari merdeka republik indonesia luncur rupa bagi upaya edukasi kenal mata uang rupiah simbol daulat negara uang khusus cetak jumlah batas milik nilai koleksi tinggi harap masyarakat lebih harga bangga mata uang rupiah,7
71,Menteri PUPR Percepat Pembangunan Jalan Tol Akses Pelabuhan Patimban,"Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) meninjau langsung dan memastikan percepatan pembangunan jalan tol yang menghubungkan ke Pelabuhan Patimban, Subang. Tol akses ini vital untuk mendukung kelancaran logistik dan operasional pelabuhan. Percepatan pembangunan ini diharapkan dapat meningkatkan efisiensi waktu dan biaya pengiriman barang. Patimban merupakan salah satu Proyek Strategis Nasional (PSN).",Infrastruktur & Transportasi,31 Oktober 2025,Menteri PUPR Percepat Pembangunan Jalan Tol Akses Pelabuhan Patimban,menteri kerja umum rumah rakyat pupr tinjau langsung pasti cepat bangun jalan tol hubung labuh patimban subang tol akses vital dukung lancar logistik operasional labuh cepat bangun harap tingkat efisiensi waktu biaya kirim barang patimban rupa salah satu proyek strategis nasional psn,2
72,KPK Peringatkan Calon Kepala Daerah Hindari Politik Uang,Komisi Pemberantasan Korupsi (KPK) mengeluarkan peringatan keras kepada seluruh calon kepala daerah yang akan bertarung di Pilkada Serentak 2025 untuk menjauhi praktik politik uang. KPK akan meningkatkan pengawasan dan tidak segan menindak calon yang terbukti melakukan korupsi atau suap. Peringatan ini bertujuan untuk mewujudkan Pilkada yang bersih dan berintegritas. Pendidikan antikorupsi menjadi prioritas utama KPK.,Politik & Hukum,2025-11-02 00:00:00,KPK Peringatkan Calon Kepala Daerah Hindari Politik Uang di Pilkada,komisi berantas korupsi kpk keluar ingat keras seluruh calon kepala daerah tarung pilkada serentak jauh praktik politik uang kpk tingkat awas segan tindak calon bukti laku korupsi suap ingat tuju wujud pilkada bersih integritas didik antikorupsi jadi prioritas utama kpk,8
73,Polisi Ungkap Sindikat Perdagangan Anak di Bawah Umur Melalui Medsos,Kepolisian Daerah (Polda) Jawa Barat berhasil membongkar sindikat perdagangan anak di bawah umur yang beroperasi melalui media sosial. Pelaku ditangkap setelah adanya laporan dan penyelidikan mendalam terhadap aktivitas mereka. Korban dieksploitasi dan dipaksa bekerja di bawah ancaman. Polisi berkomitmen untuk memberantas kejahatan ini dan memberikan perlindungan kepada korban.,Hukum & Kriminal,2025-11-01 00:00:00,Polda Jabar Ungkap Sindikat Perdagangan Anak di Bawah Umur Lewat Medsos,polisi daerah polda jawa barat hasil bongkar sindikat dagang anak bawah umur operasi lalu media sosial laku tangkap ada lapor lidi dalam aktivitas korban eksploitasi paksa kerja bawah ancam polisi komitmen berantas jahat beri lindung korban,4
74,"Pemerintah Tetapkan Target Pertumbuhan Ekonomi 5,2 Persen di RAPBN 2026","Pemerintah bersama DPR menyepakati target pertumbuhan ekonomi sebesar 5,2 persen dalam Rancangan Anggaran Pendapatan dan Belanja Negara (RAPBN) tahun 2026. Target ini dianggap realistis di tengah tantangan ekonomi global dan fokus pada pembangunan infrastruktur. Kesepakatan ini mencerminkan optimisme pemerintah terhadap pemulihan dan penguatan fundamental ekonomi. Pertumbuhan ini akan didorong oleh konsumsi dan investasi.",Ekonomi & Anggaran,30 Oktober 2025,"Pemerintah-DPR Sepakat Target Pertumbuhan Ekonomi 5,2 Persen di RAPBN 2026",perintah sama dpr pakat target tumbuh ekonomi besar persen rancang anggar dapat belanja negara rapbn tahun target anggap realistis tengah tantang ekonomi global fokus bangun infrastruktur sepakat cermin optimisme perintah pulih kuat fundamental ekonomi tumbuh dorong konsumsi investasi,5
75,BNPT Latih Tokoh Agama untuk Cegah Radikalisme di Lingkungan Pendidikan,Badan Nasional Penanggulangan Terorisme (BNPT) menggelar pelatihan khusus bagi tokoh agama dan pendidik untuk pencegahan radikalisme di lingkungan sekolah dan kampus. Pelatihan ini bertujuan membangun ketahanan ideologi dan menanamkan nilai-nilai Pancasila. BNPT menilai lingkungan pendidikan rentan menjadi target penyebaran paham ekstremisme. Kerjasama lintas sektoral menjadi kunci dalam deradikalisasi.,Keamanan & Pendidikan,31 Oktober 2025,BNPT Latih Tokoh Agama Cegah Radikalisme di Lingkungan Pendidikan,badan nasional tanggulang terorisme bnpt gelar latih khusus tokoh agama didik cegah radikalisme lingkung sekolah kampus latih tuju bangun tahan ideologi tanam nilai nilai pancasila bnpt nilai lingkung didik rentan jadi target sebar paham ekstrem kerjasama lintas sektoral jadi kunci deradikalisasi,6
76,Menko Perekonomian Targetkan Harga Bahan Pangan Stabil Jelang Nataru,Menteri Koordinator Bidang Perekonomian menargetkan harga kebutuhan bahan pangan pokok dapat terjaga stabil menjelang perayaan Natal dan Tahun Baru (Nataru). Pemerintah akan melakukan operasi pasar dan memastikan ketersediaan stok pangan yang memadai. Koordinasi antara kementerian terkait diperkuat untuk mencegah adanya penimbunan dan spekulasi harga. Stabilitas harga pangan menjadi prioritas utama pemerintah.,Ekonomi & Pangan,2025-11-02 00:00:00,Menko Perekonomian Targetkan Harga Bahan Pangan Stabil Jelang Nataru,menteri koordinator bidang ekonomi target harga butuh bahan pangan pokok jaga stabil jelang raya natal tahun baru nataru perintah laku operasi pasar pasti sedia stok pangan pada koordinasi menteri kait kuat cegah ada timbun spekulasi harga stabilitas harga pangan jadi prioritas utama perintah,2
77,DPR Minta Pemerintah Tegas Jaga Kualitas Udara Jakarta,"Komisi IV DPR RI mendesak pemerintah pusat dan Pemprov DKI Jakarta untuk mengambil langkah-langkah yang lebih tegas dalam menjaga kualitas udara di Jakarta. Desakan ini muncul setelah kualitas udara Jakarta kembali masuk kategori tidak sehat. DPR meminta implementasi kebijakan yang lebih ketat, termasuk pengawasan emisi kendaraan dan industri. Masalah polusi udara harus diselesaikan dengan kebijakan jangka panjang.",Lingkungan & Pemerintahan,2025-11-01 00:00:00,DPR Minta Pemerintah Tegas Jaga Kualitas Udara Jakarta,komisi dpr desak perintah pusat pemprov dki jakarta ambil langkah langkah lebih tegas jaga kualitas udara jakarta desa muncul kualitas udara jakarta masuk kategori sehat dpr minta implementasi bijak lebih ketat masuk awas emisi kendara industri masalah polusi udara selesai bijak jangka panjang,9
78,Kementerian LHK: Indonesia Berkomitmen Capai Target FOLU Net Sink 2030,Kementerian Lingkungan Hidup dan Kehutanan (LHK) menegaskan komitmen Indonesia untuk mencapai target Forestry and Other Land Use (FOLU) Net Sink 2030. Program ini bertujuan menjadikan sektor kehutanan dan penggunaan lahan sebagai penyerap emisi karbon. Berbagai program rehabilitasi hutan dan pencegahan deforestasi terus digalakkan. Pencapaian target ini penting untuk menunjukkan kepemimpinan Indonesia dalam aksi iklim global.,Lingkungan & Energi,30 Oktober 2025,Kementerian LHK Komitmen Capai Target FOLU Net Sink 2030,menteri lingkung hidup hutan lhk tegas komitmen indonesia capai target forestry and other land use folu net sink program tuju jadi sektor hutan guna lahan serap emisi karbon bagai program rehabilitasi hutan cegah deforestasi terus galak capai target penting tunjuk pimpin indonesia aksi iklim global,3
79,Pelaku Pembunuhan Wanita dalam Lemari di Jambi Ditangkap,Polresta Jambi berhasil menangkap seorang pria yang menjadi tersangka utama dalam kasus pembunuhan wanita yang jasadnya ditemukan di dalam lemari. Motif pembunuhan adalah penguasaan harta benda korban seperti perhiasan dan ponsel. Polisi menyita barang bukti dan menjerat pelaku dengan pasal berlapis. Penangkapan ini merupakan hasil dari penyelidikan intensif dan penyisiran rekaman CCTV.,Hukum & Kriminal,4 Oktober 2024,Polresta Jambi tangkap tersangka pelaku pembunuh wanita dalam lemari,polresta jambi hasil tangkap orang pria jadi sangka utama kasus bunuh wanita jasad temu lemari motif bunuh kuasa harta benda korban hias ponsel polisi sita barang bukti jerat laku pasal lap tangkap rupa hasil lidi intensif sisir rekam cctv,4
80,Menag Minta Kemenag Perkuat Moderasi Beragama di Kalangan Pelajar,"Menteri Agama (Menag) meminta jajaran Kementerian Agama (Kemenag) untuk terus memperkuat program moderasi beragama, khususnya di kalangan pelajar dan mahasiswa. Program ini penting untuk mencegah radikalisme dan intoleransi. Menag menekankan bahwa pendidikan agama harus menanamkan nilai-nilai kebersamaan dan penghargaan terhadap perbedaan. Upaya ini merupakan investasi jangka panjang bagi kerukunan nasional.",Sosial & Pendidikan,2025-11-01 00:00:00,Menag minta Kemenag perkuat moderasi beragama di kalangan pelajar,menteri agama menag minta jajar menteri agama kemenag terus kuat program moderasi agama khusus kalang ajar mahasiswa program penting cegah radikalisme intoleransi menag tekan didik agama tanam nilai nilai sama harga beda upaya rupa investasi jangka panjang rukun nasional,6
81,Presiden Prabowo Pimpin Ratas Pembahasan Anggaran Pertahanan,Presiden Prabowo Subianto memimpin Rapat Terbatas (Ratas) yang fokus pada pembahasan anggaran dan modernisasi alat utama sistem persenjataan (Alutsista) TNI. Ratas ini bertujuan memastikan efektivitas dan transparansi penggunaan anggaran pertahanan yang dialokasikan. Presiden menekankan pentingnya penguatan industri pertahanan dalam negeri untuk mengurangi ketergantungan impor. Modernisasi Alutsista menjadi prioritas nasional.,Politik & Pertahanan,30 Oktober 2025,Presiden Prabowo Pimpin Ratas Pembahasan Anggaran Pertahanan,presiden prabowo subianto pimpin rapat batas ratas fokus bahas anggar modernisasi alat utama sistem senjata alutsista tni ratas tuju pasti efektivitas transparansi guna anggar tahan alokasi presiden tekan penting kuat industri tahan negeri kurang gantung impor modernisasi alutsista jadi prioritas nasional,9
82,OJK Dorong Pemerintah Perpanjang Kebijakan Hapus Piutang Macet UMKM,Otoritas Jasa Keuangan (OJK) mendorong pemerintah untuk memperpanjang dan memperluas kebijakan penghapusan piutang macet Kredit Usaha Rakyat (KUR) bagi UMKM. Kebijakan ini dinilai krusial untuk membantu UMKM yang terdampak pandemi agar dapat bangkit dan mengakses pembiayaan kembali. OJK berharap perpanjangan ini dapat mengurangi beban finansial UMKM. Dukungan ini penting untuk pemulihan sektor riil.,Ekonomi & Keuangan,30 Oktober 2025,OJK dorong pemerintah perpanjang kebijakan hapus piutang macet UMKM,otoritas jasa uang ojk dorong perintah panjang luas bijak hapus piutang macet kredit usaha rakyat kur umkm bijak nilai krusial bantu umkm dampak pandemi bangkit akses biaya ojk harap panjang kurang beban finansial umkm dukung penting pulih sektor riil,3
83,Polisi Usut Kasus Korupsi Pengadaan Bansos di Kabupaten X,"Polda di salah satu wilayah sedang melakukan penyelidikan intensif terhadap dugaan korupsi dalam pengadaan paket bantuan sosial (Bansos) tahun anggaran 2024. Penyelidikan ini berfokus pada potensi kerugian negara akibat penyelewengan dana dan mark-up harga barang. Beberapa saksi telah dipanggil, dan polisi berjanji akan mengusut tuntas kasus ini. Penegakan hukum ini penting untuk memastikan bansos sampai ke tangan yang berhak.",Hukum & Korupsi,2025-11-01 00:00:00,Polisi Usut Kasus Korupsi Pengadaan Bansos di Kabupaten X,polda salah satu wilayah sedang laku lidi intensif duga korupsi ada paket bantu sosial bansos tahun anggar lidi fokus potensi rugi negara akibat seleweng dana mark harga barang beberapa saksi panggil polisi janji usut tuntas kasus tega hukum penting pasti bansos tangan hak,8
84,BPJPH: Dukungan Pemda Kunci Perkuat Ekosistem Halal Daerah,"Badan Penyelenggara Jaminan Produk Halal (BPJPH) menekankan pentingnya dukungan aktif pemerintah daerah (Pemda) dalam sertifikasi halal produk UMK. Dukungan Pemda, baik berupa sosialisasi maupun pembiayaan, diyakini dapat memperkuat ekosistem halal di tingkat daerah. Peningkatan jumlah produk UMK bersertifikat halal akan mendongkrak daya saing ekonomi daerah. BPJPH menargetkan jutaan UMK bersertifikat halal.",Ekonomi & Regulasi,2025-11-02 00:00:00,BPJPH: Dukungan Pemda untuk Sertifikasi Halal Produk UMK Bisa Perkuat Ekosistem Halal Daerah,badan selenggara jamin produk halal bpjph tekan penting dukung aktif perintah daerah pemda sertifikasi halal produk umk dukung pemda baik upa sosialisasi maupun biaya yakin kuat ekosistem halal tingkat daerah tingkat jumlah produk umk sertifikat halal dongkrak daya saing ekonomi daerah bpjph target juta umk sertifikat halal,2
85,Wapres Gibran Tinjau Pembangunan Kolam Retensi Atasi Banjir Semarang,"Wakil Presiden Gibran Rakabuming Raka meninjau langsung proyek pembangunan Kolam Retensi Terboyo di Semarang, Jawa Tengah. Pembangunan kolam retensi ini merupakan upaya strategis pemerintah untuk mengatasi masalah banjir yang kerap melanda kawasan Pantura Semarang. Wapres meminta percepatan pengerjaan proyek agar segera dapat difungsikan untuk meminimalisir dampak bencana. Proyek ini menjadi prioritas infrastruktur.",Infrastruktur & Bencana,31 Oktober 2025,Wapres Gibran tinjau pembangunan Kolam Retensi Terboyo untuk atasi banjir Pantura Semarang,wakil presiden gibran rakabuming raka tinjau langsung proyek bangun kolam retensi terboyo semarang jawa tengah bangun kolam retensi rupa upaya strategis perintah atas masalah banjir kerap landa kawasan pantura semarang wapres minta cepat kerja proyek segera fungsi meminimalisir dampak bencana proyek jadi prioritas infrastruktur,0
86,Menkes Ajak Masyarakat Terapkan Gaya Hidup Sehat Cegah Penyakit Tidak Menular,"Menteri Kesehatan (Menkes) mengimbau masyarakat untuk secara serius menerapkan gaya hidup sehat sebagai upaya pencegahan utama penyakit tidak menular (PTM) seperti diabetes dan hipertensi. Menkes menekankan pentingnya olahraga teratur, diet seimbang, dan menghindari rokok. Angka PTM di Indonesia masih tinggi, sehingga perlu peran aktif masyarakat. Kemenkes terus memperkuat layanan pencegahan di tingkat Puskesmas.",Kesehatan & Sosial,30 Oktober 2025,Menkes Ajak Masyarakat Terapkan Gaya Hidup Sehat Cegah Penyakit Tidak Menular,menteri sehat menkes imbau masyarakat serius terap gaya hidup sehat upaya cegah utama sakit tular ptm diabetes hipertensi menkes tekan penting olahraga atur diet imbang hindar rokok angka ptm indonesia tinggi perlu peran aktif masyarakat kemenkes terus kuat layan cegah tingkat puskesmas,6
87,Pemerintah Kaji Penerapan Dynamic Pricing untuk Tiket Kereta Api Jarak Jauh,Kementerian Perhubungan (Kemenhub) tengah mengkaji penerapan skema dynamic pricing (penetapan harga dinamis) untuk tiket kereta api jarak jauh. Kebijakan ini bertujuan mengoptimalkan pendapatan dan mengendalikan permintaan pada periode puncak. Kemenhub memastikan bahwa mekanisme ini akan tetap mempertimbangkan daya beli masyarakat. Regulasi ini diharapkan meningkatkan efisiensi operasional PT KAI.,Transportasi & Ekonomi,2025-11-01 00:00:00,Pemerintah Kaji Penerapan Dynamic Pricing untuk Tiket Kereta Api Jarak Jauh,menteri hubung kemenhub tengah kaji terap skema dynamic pricing tetap harga dinamis tiket kereta api jarak jauh bijak tuju optimal dapat kendali minta periode puncak kemenhub pasti mekanisme tetap timbang daya beli masyarakat regulasi harap tingkat efisiensi operasional kai,9
88,Satgas Citarum Harum Catat Peningkatan Kualitas Air Sungai Citarum,"Satuan Tugas (Satgas) Citarum Harum melaporkan adanya peningkatan kualitas air di Sungai Citarum, Jawa Barat, dalam beberapa tahun terakhir. Peningkatan ini merupakan hasil dari kerja keras Satgas dalam penertiban industri pencemar dan edukasi masyarakat. Meskipun demikian, Satgas mengakui masih banyak pekerjaan rumah yang harus diselesaikan, terutama penanganan sampah. Program Citarum Harum menjadi contoh restorasi lingkungan.",Lingkungan & Pemerintahan,2025-11-02 00:00:00,Satgas Citarum Harum Catat Peningkatan Kualitas Air Sungai Citarum,satu tugas satgas citarum harum lapor ada tingkat kualitas air sungai citarum jawa barat beberapa tahun akhir tingkat rupa hasil kerja keras satgas tertib industri cemar edukasi masyarakat meski satgas aku banyak kerja rumah selesai utama tangan sampah program citarum harum jadi contoh restorasi lingkung,2
89,Kejagung Segera Eksekusi Harvey Moeis dalam Kasus Korupsi Timah,Kejaksaan Agung (Kejagung) menyatakan akan segera melaksanakan eksekusi vonis terhadap terpidana Harvey Moeis dalam kasus mega korupsi tata niaga timah. Kejagung memastikan seluruh aset yang telah disita akan dilelang untuk pemulihan kerugian negara. Proses eksekusi akan dilakukan setelah putusan hukum terhadap yang bersangkutan bersifat inkrah. Tindakan tegas ini diharapkan mengembalikan kerugian negara.,Hukum & Korupsi,2025-11-01 00:00:00,Kejaksaan Segera Eksekusi Harvey Moeis,jaksa agung jagung nyata segera laksana eksekusi vonis pidana harvey moeis kasus mega korupsi tata niaga timah jagung pasti seluruh aset sita lelang pulih rugi negara proses eksekusi laku putus hukum sangkut sifat inkrah tindak tegas harap kembali rugi negara,8
90,Menkeu Tekankan Pentingnya APBN yang Fleksibel Hadapi Tantangan Global,Menteri Keuangan kembali menekankan pentingnya Anggaran Pendapatan dan Belanja Negara (APBN) yang fleksibel dan responsif dalam menghadapi tantangan ekonomi global yang dinamis. Fleksibilitas ini diperlukan untuk melindungi masyarakat dari gejolak harga dan krisis global. Menkeu meminta seluruh kementerian dan lembaga untuk mengelola anggaran secara bijak dan efisien. APBN harus menjadi instrumen stabilitas.,Ekonomi & Anggaran,31 Oktober 2025,Menkeu Tekankan Pentingnya APBN yang Fleksibel Hadapi Tantangan Global,menteri uang tekan penting anggar dapat belanja negara apbn fleksibel responsif hadap tantang ekonomi global dinamis fleksibilitas perlu lindung masyarakat gejolak harga krisis global menkeu minta seluruh menteri lembaga kelola anggar bijak efisien apbn jadi instrumen stabilitas,5
91,Presiden Puji Capaian Kepuasan Publik Polri yang Mencapai 80%,Presiden memberikan apresiasi tinggi terhadap hasil survei yang menunjukkan tingkat kepuasan publik terhadap kinerja Polri telah mencapai angka 80 persen. Capaian ini merupakan hasil dari kerja keras Polri dalam memberantas kejahatan dan meningkatkan pelayanan. Presiden meminta Polri untuk terus mempertahankan dan meningkatkan kepercayaan masyarakat. Peningkatan citra Polri menjadi prioritas.,Politik & Keamanan,2025-11-01 00:00:00,Presiden Puji Capaian Kepuasan Publik Polri yang Mencapai 80%,presiden beri apresiasi tinggi hasil survei tunjuk tingkat puas publik kerja polri capai angka persen capai rupa hasil kerja keras polri berantas jahat tingkat layan presiden minta polri terus tahan tingkat percaya masyarakat tingkat citra polri jadi prioritas,1
92,Kementerian ESDM Dorong Peningkatan Kapasitas Kilang Minyak Domestik,Kementerian Energi dan Sumber Daya Mineral (ESDM) mendorong percepatan program peningkatan kapasitas kilang minyak di dalam negeri (Refinery Development Master Plan). Peningkatan kapasitas ini bertujuan untuk mengurangi ketergantungan impor BBM dan mencapai ketahanan energi nasional. Kerja sama dengan Pertamina dan pihak swasta terus diintensifkan. Investasi di sektor hilir migas menjadi fokus utama.,Energi & Ekonomi,30 Oktober 2025,Kementerian ESDM Dorong Peningkatan Kapasitas Kilang Minyak Domestik,menteri energi sumber daya mineral esdm dorong cepat program tingkat kapasitas kilang minyak negeri refinery development master plan tingkat kapasitas tuju kurang gantung impor bbm capai tahan energi nasional kerja sama pertamina pihak swasta terus intensif investasi sektor hilir migas jadi fokus utama,9
93,Polisi Usut Dugaan Pelanggaran Kode Etik di Kasus Jet Pribadi KPU,DPR meminta polisi dan pihak terkait mengusut tuntas dugaan pelanggaran kode etik dan penyalahgunaan wewenang terkait penggunaan jet pribadi oleh komisioner KPU. Isu ini mencuat setelah laporan dugaan gratifikasi. DPR akan mengawasi ketat anggaran KPU untuk memastikan transparansi. Kasus ini penting untuk menjaga integritas lembaga penyelenggara pemilu.,Politik & Hukum,2025-11-02 00:00:00,"Imbas Kasus Jet Pribadi, DPR Bakal Awasi Ketat Anggaran KPU",dpr minta polisi pihak kait usut tuntas duga langgar kode etik penyalahgunaan wewenang kait guna jet pribadi komisioner kpu isu cuat lapor duga gratifikasi dpr awas ketat anggar kpu pasti transparansi kasus penting jaga integritas lembaga selenggara milu,8
94,Peruri Luncurkan Aplikasi Digital untuk Verifikasi Dokumen Pemerintah,Perum Peruri (Percetakan Uang Republik Indonesia) meluncurkan aplikasi digital baru yang berfungsi untuk verifikasi dan keamanan dokumen-dokumen resmi pemerintah. Inovasi ini bertujuan untuk mencegah pemalsuan dan meningkatkan efisiensi administrasi negara. Peruri berkomitmen mendukung transformasi digital di sektor pemerintahan. Penerapan teknologi keamanan menjadi fokus utama.,Teknologi & Pemerintahan,2025-11-01 00:00:00,Peruri Luncurkan Aplikasi Digital untuk Verifikasi Dokumen Pemerintah,perum uri cetak uang republik indonesia luncur aplikasi digital baru fungsi verifikasi aman dokumen dokumen resmi perintah inovasi tuju cegah palsu tingkat efisiensi administrasi negara uri komitmen dukung transformasi digital sektor perintah terap teknologi aman jadi fokus utama,2
95,Wamendag Dorong UMKM Manfaatkan E-Commerce untuk Pasar Ekspor,"Wakil Menteri Perdagangan (Wamendag) mendorong pelaku Usaha Mikro, Kecil, dan Menengah (UMKM) untuk memanfaatkan platform e-commerce sebagai sarana menembus pasar ekspor global. Wamendag menekankan perlunya peningkatan kualitas produk dan literasi digital bagi UMKM. Pemerintah memberikan fasilitasi pelatihan dan pendampingan untuk ekspor digital. Hal ini penting untuk meningkatkan kontribusi UMKM terhadap devisa negara.",Ekonomi & Perdagangan,31 Oktober 2025,Wamendag Dorong UMKM Manfaatkan E-Commerce untuk Pasar Ekspor,wakil menteri dagang wamendag dorong laku usaha mikro kecil tengah umkm manfaat platform commerce sarana tembus pasar ekspor global wamendag tekan perlu tingkat kualitas produk literasi digital umkm perintah beri fasilitas latih damping ekspor digital penting tingkat kontribusi umkm devisa negara,2
96,Pemerintah Siapkan Program Rehabilitasi Sosial Korban Narkoba Massal,"Kementerian Sosial dan Badan Narkotika Nasional (BNN) menyiapkan program rehabilitasi sosial massal bagi korban penyalahgunaan narkoba. Program ini menjadi tindak lanjut dari komitmen pemerintah dalam perang melawan narkoba. Rehabilitasi tidak hanya berfokus pada kesehatan fisik, tetapi juga reintegrasi sosial korban. Pemerintah berharap korban narkoba dapat kembali produktif di masyarakat.",Sosial & Kesehatan,2025-11-02 00:00:00,Pemerintah Siapkan Program Rehabilitasi Sosial Korban Narkoba Massal,menteri sosial badan narkotika nasional bnn siap program rehabilitasi sosial massal korban penyalahgunaan narkoba program jadi tindak lanjut komitmen perintah perang lawan narkoba rehabilitasi fokus sehat fisik reintegrasi sosial korban perintah harap korban narkoba produktif masyarakat,7
97,Masyarakat Adat Minta Pemerintah Segera Tuntaskan Pengakuan Wilayah Hutan Adat,Perwakilan masyarakat adat mendesak pemerintah untuk segera menuntaskan proses pengakuan dan penetapan wilayah hutan adat di seluruh Indonesia. Pengakuan ini penting untuk memberikan kepastian hukum dan perlindungan terhadap hak-hak masyarakat adat. Kementerian LHK berkomitmen mempercepat proses verifikasi dan penetapan hutan adat. Upaya ini sejalan dengan komitmen pemerintah terhadap hak masyarakat adat.,Sosial & Lingkungan,30 Oktober 2025,Masyarakat Adat Minta Pemerintah Segera Tuntaskan Pengakuan Wilayah Hutan Adat,wakil masyarakat adat desak perintah segera tuntas proses aku tetap wilayah hutan adat seluruh indonesia aku penting beri pasti hukum lindung hak hak masyarakat adat menteri lhk komitmen cepat proses verifikasi tetap hutan adat upaya jalan komitmen perintah hak masyarakat adat,1
